NDate,NTime,MeaValue,Weight,RecNo
2020/9/30 ,0:16:40 ,43.9  ,A,442   
2020/9/30 ,0:16:42 ,43.9  ,A,443   
2020/9/30 ,0:16:44 ,43.8  ,A,444   
2020/9/30 ,0:16:46 ,43.8  ,A,445   
2020/9/30 ,0:16:48 ,43.9  ,A,446   
2020/9/30 ,0:16:50 ,43.9  ,A,447   
2020/9/30 ,0:16:52 ,44.0  ,A,448   
2020/9/30 ,0:16:54 ,43.9  ,A,449   
2020/9/30 ,0:16:56 ,43.8  ,A,450   
2020/9/30 ,0:16:58 ,43.9  ,A,451   
2020/9/30 ,0:17:0  ,43.9  ,A,452   
2020/9/30 ,0:17:2  ,43.9  ,A,453   
2020/9/30 ,0:17:4  ,43.9  ,A,454   
2020/9/30 ,0:17:6  ,44.0  ,A,455   
2020/9/30 ,0:17:8  ,43.9  ,A,456   
2020/9/30 ,0:17:10 ,43.9  ,A,457   
2020/9/30 ,0:17:12 ,43.9  ,A,458   
2020/9/30 ,0:17:14 ,43.9  ,A,459   
2020/9/30 ,0:17:16 ,43.9  ,A,460   
2020/9/30 ,0:17:18 ,43.9  ,A,461   
2020/9/30 ,0:17:20 ,44.0  ,A,462   
2020/9/30 ,0:17:22 ,44.0  ,A,463   
2020/9/30 ,0:17:24 ,43.9  ,A,464   
2020/9/30 ,0:17:26 ,43.9  ,A,465   
2020/9/30 ,0:17:28 ,43.9  ,A,466   
2020/9/30 ,0:17:30 ,43.9  ,A,467   
2020/9/30 ,0:17:32 ,43.9  ,A,468   
2020/9/30 ,0:17:34 ,44.0  ,A,469   
2020/9/30 ,0:17:36 ,44.0  ,A,470   
2020/9/30 ,0:17:38 ,43.9  ,A,471   
2020/9/30 ,0:17:40 ,43.9  ,A,472   
2020/9/30 ,0:17:42 ,44.0  ,A,473   
2020/9/30 ,0:17:44 ,44.0  ,A,474   
2020/9/30 ,0:17:46 ,44.1  ,A,475   
2020/9/30 ,0:17:48 ,43.9  ,A,476   
2020/9/30 ,0:17:50 ,43.9  ,A,477   
2020/9/30 ,0:17:52 ,44.0  ,A,478   
2020/9/30 ,0:17:54 ,43.9  ,A,479   
2020/9/30 ,0:18:2  ,43.9  ,A,480   
2020/9/30 ,0:18:4  ,43.9  ,A,481   
2020/9/30 ,0:18:6  ,43.9  ,A,482   
2020/9/30 ,0:18:8  ,44.0  ,A,483   
2020/9/30 ,0:18:10 ,43.9  ,A,484   
2020/9/30 ,0:18:12 ,44.0  ,A,485   
2020/9/30 ,0:18:14 ,44.0  ,A,486   
2020/9/30 ,0:18:16 ,44.0  ,A,487   
2020/9/30 ,0:18:18 ,44.0  ,A,488   
2020/9/30 ,0:18:20 ,44.0  ,A,489   
2020/9/30 ,0:18:22 ,44.0  ,A,490   
2020/9/30 ,0:18:24 ,44.0  ,A,491   
2020/9/30 ,0:18:26 ,44.0  ,A,492   
2020/9/30 ,0:18:28 ,44.0  ,A,493   
2020/9/30 ,0:18:30 ,44.0  ,A,494   
2020/9/30 ,0:18:32 ,44.0  ,A,495   
